airport,year,month,vsby,tmpf,p01i,sknt,weather_delay,elevation
LAX,2024,10,6.827127077421969,64.0363453815261,0.0,4.974221488966798,47.0,125.0
MIA,2024,10,9.771762534604736,79.59593787335723,52.3265,6.3881902679059595,7289.0,8.0
ORD,2024,10,9.934464267299164,59.55979381443299,8.5229,7.171106557377049,313.0,680.0
SFO,2024,10,9.667421513124035,62.939195979899495,0.1207,6.010598124010233,61.0,13.0
DEN,2024,10,9.912723421841099,58.20765306122449,0.9214,7.866581004390191,30.0,5431.0
LAX,2024,10,6.827127077421969,64.0363453815261,0.0,4.974221488966798,53.0,125.0
SFO,2024,10,9.667421513124035,62.939195979899495,0.1207,6.010598124010233,245.0,13.0
JFK,2024,10,9.989884242361038,61.018972332015814,0.101,7.965317919075145,252.0,13.0
ATL,2024,10,9.945385966725224,67.57338603425559,0.0002,5.730518112889638,3261.0,1026.0
DEN,2024,10,9.912723421841099,58.20765306122449,0.9214,7.866581004390191,44.0,5431.0
DFW,2024,10,9.954743208828523,75.65442536327609,0.0,8.48538785327721,50.0,607.0
JFK,2024,10,9.989884242361038,61.018972332015814,0.101,7.965317919075145,258.0,13.0
LAX,2024,10,6.827127077421969,64.0363453815261,0.0,4.974221488966798,19.0,125.0
MIA,2024,10,9.771762534604736,79.59593787335723,52.3265,6.3881902679059595,63.0,8.0
ORD,2024,10,9.934464267299164,59.55979381443299,8.5229,7.171106557377049,152.0,680.0
SFO,2024,10,9.667421513124035,62.939195979899495,0.1207,6.010598124010233,47.0,13.0
ATL,2024,10,9.945385966725224,67.57338603425559,0.0002,5.730518112889638,82.0,1026.0
DEN,2024,10,9.912723421841099,58.20765306122449,0.9214,7.866581004390191,378.0,5431.0
DFW,2024,10,9.954743208828523,75.65442536327609,0.0,8.48538785327721,251.0,607.0
LAX,2024,10,6.827127077421969,64.0363453815261,0.0,4.974221488966798,8.0,125.0
ORD,2024,10,9.934464267299164,59.55979381443299,8.5229,7.171106557377049,44.0,680.0
